id,date,type,content,media_file
25746191,2026-01-26T02:31:52+00:00,text,买在无人问津时,
25746193,2026-01-26T02:32:14+00:00,text,买,
25746195,2026-01-26T02:32:17+00:00,text,看似波澜不惊的走势，其实暗流涌动的交易,
25746200,2026-01-26T02:33:12+00:00,text,一路高歌,
25746201,2026-01-26T02:33:26+00:00,text,做多的，想亏钱都不给你机会,
90000009,2026-02-06T04:37:23+00:00,text,你听说superex最近新推出那个全币种合约吗,
90000011,2026-02-06T04:37:23+00:00,text,那个是真牛逼,
90000012,2026-02-06T04:37:23+00:00,text,炒完meme之后剩下的钱还能拿来直接开单,
90000013,2026-02-06T04:37:23+00:00,text,梭他妈的,
90000014,2026-02-06T04:37:23+00:00,text,拿meme炒大饼真牛逼,
90000015,2026-02-06T04:37:23+00:00,photo,我看到了,media/screenshot_new.jpg
90000016,2026-02-06T04:37:23+00:00,text,哥们又要迟到了,
25746217,2026-01-26T02:35:32+00:00,text,黄金白银涨上天了,
25746220,2026-01-26T02:35:38+00:00,text,真牛,
25746228,2026-01-26T02:37:04+00:00,text,sol已经烂掉了,
25746233,2026-01-26T02:37:59+00:00,text,黄金白银涨，币圈跌，但是黄金白银跌，币圈也不一定涨,
25746238,2026-01-26T02:38:19+00:00,text,cpu干烧,
25746244,2026-01-26T02:39:49+00:00,text,币圈废了,
25746250,2026-01-26T02:40:20+00:00,text,波动太小,
25746253,2026-01-26T02:41:50+00:00,text,币圈已死,
90000009,2026-02-06T04:35:34+00:00,text,你听说superex最近新推出那个全币种合约吗,
90000011,2026-02-06T04:35:34+00:00,text,那个是真牛逼,
90000012,2026-02-06T04:35:34+00:00,text,炒完meme之后剩下的钱还能拿来直接开单,
90000013,2026-02-06T04:35:34+00:00,text,梭他妈的,
90000014,2026-02-06T04:35:34+00:00,text,拿meme炒大饼真牛逼,
90000015,2026-02-06T04:35:34+00:00,photo,我看到了,media/ff8e7c77a2c34b7eb9c98baca05f2c0a.jpg
90000016,2026-02-06T04:35:34+00:00,text,哥们又要迟到了,
25746260,2026-01-26T02:42:05+00:00,text,资金全去黄金白银股市了,
25746261,2026-01-26T02:42:25+00:00,text,现在玩币就和1911年进宫当太监一样,
25746265,2026-01-26T02:43:51+00:00,text,币圈还是有优势的，周六周日不封盘 可以多亏两天🤓,
25746283,2026-01-26T02:45:30+00:00,text,咋不让我说话呢,
